CustomerID,Churn
CUST_0,0
CUST_1,0
CUST_2,0
CUST_3,0
CUST_4,0
CUST_5,0
CUST_6,0
CUST_7,0
CUST_8,0
CUST_9,0
CUST_10,0
CUST_11,0
CUST_12,0
CUST_13,0
CUST_14,0
CUST_15,0
CUST_16,1
CUST_17,0
CUST_18,0
CUST_19,0
CUST_20,0
CUST_21,0
CUST_22,0
CUST_23,0
CUST_24,0
CUST_25,0
CUST_26,0
CUST_27,1
CUST_28,0
CUST_29,1
CUST_30,0
CUST_31,0
CUST_32,0
CUST_33,0
CUST_34,0
CUST_35,0
CUST_36,0
CUST_37,0
CUST_38,0
CUST_39,0
CUST_40,0
CUST_41,0
CUST_42,0
CUST_43,0
CUST_44,0
CUST_45,0
CUST_46,0
CUST_47,0
CUST_48,0
CUST_49,0
CUST_50,0
CUST_51,0
CUST_52,0
CUST_53,0
CUST_54,0
CUST_55,0
CUST_56,0
CUST_57,0
CUST_58,1
CUST_59,0
CUST_60,1
CUST_61,0
CUST_62,0
CUST_63,0
CUST_64,0
CUST_65,0
CUST_66,0
CUST_67,0
CUST_68,0
CUST_69,0
CUST_70,0
CUST_71,0
CUST_72,0
CUST_73,0
CUST_74,0
CUST_75,0
CUST_76,0
CUST_77,0
CUST_78,0
CUST_79,0
CUST_80,1
CUST_81,0
CUST_82,0
CUST_83,1
CUST_84,0
CUST_85,0
CUST_86,0
CUST_87,0
CUST_88,0
CUST_89,0
CUST_90,0
CUST_91,0
CUST_92,0
CUST_93,1
CUST_94,0
CUST_95,0
CUST_96,0
CUST_97,0
CUST_98,0
CUST_99,0
CUST_100,0
CUST_101,0
CUST_102,0
CUST_103,0
CUST_104,0
CUST_105,0
CUST_106,0
CUST_107,0
CUST_108,0
CUST_109,0
CUST_110,0
CUST_111,0
CUST_112,0
CUST_113,0
CUST_114,0
CUST_115,0
CUST_116,1
CUST_117,0
CUST_118,0
CUST_119,0
CUST_120,0
CUST_121,0
CUST_122,0
CUST_123,0
CUST_124,0
CUST_125,0
CUST_126,0
CUST_127,0
CUST_128,1
CUST_129,1
CUST_130,0
CUST_131,0
